HUD/Ally	Sojusznik
Dialog/Bastard3Recovered_2	Wszystkie bękarty co do jednego.
Dialog/Bastard3Recovered_2a	Znacie się? To twoja krewna, Fletch?
Dialog/Bastard3Recovered_3	Niezupełnie – coś bliższego.
Dialog/Bastard3Recovered_4	Co za różnica? Nareszcie. <color=#AB82FD>Ostoja.</color> Naprawdę istnieje?
Dialog/Bastard3Recovered_5	Istnieje, a jakże. Ale mam wieści: <color=#AB82FD>nie wszyscy lecimy</color>. Tylko ta trójka.
Dialog/Bastard3Recovered_6	Że co?
Dialog/Bastard3Recovered_7	Mamy… co? <color=#AB82FD>Zostać tutaj?</color>
Dialog/Bastard3Recovered_8	To po prostu nie miejsce dla nas. Drifter chyba wystrzeli kapsułę ratunkową przez Szew – największą dziurę, jaką zdoła zrobić – z tymi dzieciakami na pokładzie. Tam się nimi dobrze zaopiekują.
Dialog/Bastard3Recovered_8a	Nie chcą tam takich jak my. Zabójców, złodziei i tak dalej. Spalilibyśmy niebo samym dotykiem.
Dialog/Bastard3Recovered_8b	Cała ta walka i umieranie, cały ten czas w pace, tylko po to, żeby <color=#AB82FD>ratować bękarty Chaste'a?</color>
Dialog/Bastard3Recovered_8c	Wykiwali nas! 
Dialog/Bastard3Recovered_8d	Zdaje się, że znam się trochę na lewych rozdaniach, a to mi wygląda właśnie na takie. 
Dialog/Bastard3Recovered_9	Możecie sobie gadać o kiwaniu i takich tam. Powinniście się cieszyć, że nie leżycie w ziemi. <color=#AB82FD>Drifter nigdy nie obiecywał wam więcej</color>. Mrzonki to wasza sprawa.
Dialog/Bastard3Sector_0	No więc było tak. Ktoś znalazł jakieś zmutowane dzieciaki, trochę do mnie podobne. Chciałem je tylko porządnie wychować. Znaleźć im dom, gdzie nikt nie użyje ich przeciwko mnie.
Dialog/Bastard3Sector_0a	Wierzę mu. Może wystarczy nam tych dwoje, których już mamy.
Dialog/Bastard3Sector_1	Zamknij się, Roswell. W tym sektorze widzę <color=#AB82FD>Hopalonga</color> i <color=#AB82FD>Billy'ego</color>, i… daj mi chwilę. To było tak dawno.
Dialog/Bastard3Sector_2	To ci dwaj. Razem z <color=#AB82FD>Rosą</color> i <color=#AB82FD>Casino</color>. 
Dialog/Bastard3Sector_3	<color=#AB82FD>Te zaprzańce siedzą w pace</color>. I nie wyjdą, dopóki mam tu coś do powiedzenia.
Dialog/Bastard3Sector_4	Przychylam się.
Dialog/Bastard3SomeReady_1	Na tę planetę naprawdę potrzebowaliśmy <color=#AB82FD>Hopalonga</color> i <color=#AB82FD>Billy'ego</color>. Skoro nie są obaj zdrowi, <color=#AB82FD>naprawdę musimy odzyskać Rosę i Casino</color>.
Dialog/Bastard3SomeReady_2	Zdrajców? Jak mamy im ufać?
Dialog/BeamDown_1	Te światy Chaste'a tutaj są szczelnie ogrodzone – jak mamy zejść na dół?
Dialog/BeamDown_2	Wir transmisyjny działa podczas przesyłu jak świder w nanoskali.
Dialog/BeamDown_3	To coś jakby uderzenie pioruna.
Dialog/BeamDown_4	Tyle że to my jesteśmy piorunem.
Dialog/BeansPickup_1	Jak dwoje z naszej kompanii będzie miało jakiś problem, to niech usiądą na Drifterze nad tą <color=#AB82FD>fasolą, a zranione uczucia przejdą</color>.
Dialog/BillyAstronautArg_1	Panie Roswell, czasem łapię nutkę pana... no, pana myśli i snów, i takich tam. Jakbyśmy byli jakoś spokrewnieni, pan i ja. Dawno temu.  
Dialog/BillyAstronautArg_2	Nie przypominaj mi.  
Dialog/BillyGamblerArg_1	Coś pan tam wolno wyciągał, panie Casino.  
Dialog/BillyGamblerArg_2	Doc. I wyciągam szybciej od ciebie. Możemy to sprawdzić tu i teraz – Drifter będzie sędzią, prawda, Drifter?
Dialog/BillyHelixPlanet_1	Jedno mnie zastanawia: czemu niby myślicie, że wykopanie śmierdzących trupów waszej starej bandy wam pomoże, skoro ostatnim razem, jak na was polowaliśmy, wszyscy tak łatwo pomarliście.
Dialog/BillyHopalongArg_1	Psiakrew, Hop! Jak ja się wymieniam, ty wskakujesz, taka umowa! 
Dialog/BillyHopalongArg_2	Jakoś zawsze wypada akurat wtedy, jak kładę nogi na stół. 
Dialog/BillyInitArg_1	Nie potrzebuję twojej pomocy ani twoich ślicznych rad. 
Dialog/BillyInitArg_2	Zwykle przedstawiam Ślubnej i Małej Lizie Jane tylko Karzycieli. Ale ty się sam prosisz, co? 
Dialog/BillyIntro_1	Dobrze się spisałem, prawda?
Dialog/BillyIntro_2	O ile pamiętam, pochowałeś pięciu w tyle samo sekund.
Dialog/BillyIntro_3	No, to tylko połowa tego, co Sędzia położył w Blue Ridge – prawda, proszę pana?
Dialog/BillyIntro_4	W ramach wykonywania moich sędziowskich obowiązków.
Dialog/BillyIntro_5	Ale to się wiąże z zabijaniem, nie?
Dialog/BillyIntro_6	Szukasz pokazu, szczęściarzu?
Dialog/BillyIntro_7	Ilu ich było, Sędzio?
Dialog/BillyIntro_8	Nie rozmawiam o szczegółach.
Dialog/BillyIntro_9	Czyli więcej niż dziesięciu!
Dialog/BillyJailPals_1	Słyszeliście? Zamknęli mnie, ale się wyrwałem! A, już wiecie?
Dialog/BillyJudgeArg_1	Starałem się dla ciebie, Sędzio. Nie mój dzień.
Dialog/BillyJudgeArg_2	Zrób mi przysługę, kałamarnico. Miej gorsze dni, kiedy mnie nie ma w pobliżu.
Dialog/BillyMamaPanicArg_1	Mam już dość, że przypisujesz sobie moje zabójstwa, panno Roso.
Dialog/BillyMamaPanicArg_2	A ja mam dość dosłownie wszystkiego, co z tobą związane.
Dialog/BillyMistMinerArg_1	Panie Bum, mówię panu i mówię – uważaj pan, gdzie rzucasz te rzeczy! Te czułki są strasznie delikatne!
Dialog/BillyMistMinerArg_2	Nie jestem twoją niańką, chłopcze! Po prostu nie stój tam, gdzie lecą ładunki!   
Dialog/BillyPals_1	Rozproszyć się może każdemu, nie? Słyszałem, że Sędzia raz się rozproszył. Ale dzięki za znalezienie!
Dialog/BillyPreachArg_1	Kaznodziejo... Esther... Czuję między nami potężną iskrę, kiedy nasze oczy się spotykają. Więc się zastanawiałem...
Dialog/BillyPreachArg_2	Roswell i ja jesteśmy już sobie przyrzeczeni. To bardzo czyste uczucie i dlatego nigdy o nim nie rozmawiamy, nawet ze sobą.   
Dialog/BillyRespArg_1	No, ja cię od początku nie lubiłem. 
Dialog/BillyRespArg_2	Chcesz sprawdzić, jak szybko wyciągam, to tylko powiedz. 
Dialog/BillySector_1	Nasz dzieciak nie dał się łatwo, co? Chłopak jest wybitnie zawzięty, coś jak wadliwy pro-tagonista. Zeżre cię na surowo, jak grizzly.
Dialog/BillySector_2	Jeśli zbieramy resztę bandy, to moim zdaniem zamiast kałamarnicy przydałby się ktoś z długą bronią...
Dialog/BillySector_2a	Jak ta stara szkapa <color=#AB82FD>Sierżant</color> albo nawet ta gromadka zwierzaków, która nazywa się <color=#AB82FD>Rawhide</color>.
Dialog/BillySector_3	To nie my tu rozdajemy karty. Trzeba <color=#AB82FD>iść za Drifterem</color>.
Dialog/BillySmokyArg_1	Smoky! Powiedziałem tylko: „Niech mnie, to najlepsza fasola, jaką jadłem!”
Dialog/BillySmokyArg_2	CHODZI O TO, JAK TO POWIEDZIAŁEŚ 
Dialog/CasinoInitArg_1	Chciałem porozmawiać o współpracy z tobą, przyjacielu. Na przyszłość... darujmy sobie. 
Dialog/CasinoInitArg_2	Następnym razem jak zejdziemy na dół, nie schodźmy... jako „my”. 
Dialog/CasinoRespArg_1	Strasznie mi przykro to słyszeć, przyjacielu. Dajmy sobie trochę oddechu. 
Dialog/CasinoRespArg_2	To trzymajmy się z dala od siebie, kolego. Aż ostygną te gorące głowy. 
Dialog/DogwoodSector_0	Wynocha z mojej ziemi, zmutowane sukinsyny!
Dialog/DogwoodSector_0a	Oj, chyba jest wściekły.
Dialog/DogwoodSector_1	Gdzie my, do licha, jesteśmy?
Dialog/DogwoodSector_2	Znam ten sektor ze słyszenia. Jest tu jedna z <color=#AB82FD>posiadłości Chaste'a</color>. Miejsce, gdzie oddaje się przyjemnościom i chowa klejnoty. Pewnie chowa tu też dzieci.
Dialog/DogwoodSector_3	Wystaw mnie, jak dotrzemy na miejsce, Fletch.
Dialog/DogwoodSector_4	Nie ciebie, Billy. Przynajmniej jeszcze nie. Jak to pamiętam, na dole są <color=#AB82FD>Kaboom</color>, <color=#AB82FD>Kaznodzieja</color>, <color=#AB82FD>Smoky</color> i <color=#AB82FD>Rawhide</color>.
Dialog/DogwoodSector_5	Pamiętasz? Zapytam cię o to później. Ale co, jeśli ci goście nie będą już stać na nogach, kiedy tam dotrzemy?
Dialog/DogwoodSector_6	Naszą robotą jest dopilnować, żeby tak się nie stało, nie? Trzymać potrzebnych całych i zdrowych, aż przyjdzie ich czas.
Dialog/DogwoodSector_7	Święta racja, Spike. Nikt poza tą czwórką tego nie zrobi. Są <color=#AB82FD>POTRZEBNI</color>.
Dialog/DrifterArrive_0	Psiakrew, alarm z Lucky Lady. Spodziewamy się gości?
Dialog/DrifterArrive_1	No to mam was, chciwe sukinsyny, z rękami, czy… szponami, czy czym tam, prosto w słoju z cramm!
Dialog/DrifterArrive_10	Panno Roso, o subtelnościach tego porzekadła porozmawiamy <color=#AB82FD>na pokładzie</color>.
Dialog/DrifterArrive_2	Wykiwało nas <color=#AB82FD>najmłodsze, najgłupsze pisklę Chaste'a</color>!
Dialog/DrifterArrive_4	Jak was dwoje powieszę, <color=#AB82FD>tatko</color> powie: „Jackpot Joe i Robaczyca? Załatwiłeś ostatnich tych złodziejskich Dzikich Bękartów? Dobra robota, McNeil, bardzo dobra”. 
Dialog/DrifterArrive_5	„Niech mnie, jeśli znów cię nie kocham, chłopcze, jak dawniej. Chodź no tu i siadaj znów z nami do stołu”.
Dialog/DrifterArrive_6	Hej, co to za hałas? \n\nO, do diabła. O kurwa! 
Dialog/DrifterArrive_7	Widzisz to, Doc? To nie jakieś pobożne życzenie, nie wymyślny sen? 
Dialog/DrifterArrive_8	To cholerny <color=#AB82FD>Drifter!</color> Zaczynałem… myśleć, że nigdy go nie zobaczymy. Może nie zasługiwaliśmy. 
Dialog/DrifterArrive_9	Cóż, „Drifter na srebrnych skrzydłach płynie do tych, którym pokój przyniesie”.
Dialog/Drifter_1	Juhu! W samą porę, Drifter – nogi już mi odpadały. 
Dialog/Drifter_2	Ale… czemu Drifter zjawił się dopiero teraz? A nie wtedy, kiedy Chaste i jego pomiot <color=#AB82FD>wyrzynali resztę naszej bandy</color>? 
Dialog/Drifter_3	Może lubi nas bardziej niż ich! Albo może był po prostu strasznie zajęty. Nie bardzo wiem, jak to jest ze statkami kosmicznymi. 
Dialog/Drifter_4	Ale skoro <color=#AB82FD>nic nie mówi</color>, musimy się sami domyślić, czego chce. 
Dialog/Drifter_5	Jest tu, żeby zabrać nas do <color=#AB82FD>Ostoi</color>. Tam, gdzie żadne prawo nie zabrania nikomu być sobą. Tylko srebrne gwiazdy i czyste, niebieskie kulki do życia. 
Dialog/Drifter_7	Ale czemu Drifter ma te wszystkie <color=#AB82FD>trumny</color> wiszące nad nami? To jakieś mauzoleum? Pomnik Dzikich Bękartów?
Dialog/Drifter_8	No właśnie. Mamy tu wyciągnąć jakąś nauczkę, Drifter? Z tego, co żeśmy zrobili?
Dialog/Drifter_9	Aż ciarki przechodzą, jak się o tym pomyśli. <color=#AB82FD>Wynośmy się stąd warpem</color>, zanim McNeil wygrzebie się z wraku.
Dialog/EnterFirstShop_1	Panna Rosa! I Doc Casino! Słyszałem, że dajecie popalić Chaste'owi i jego cholernym bachorom.
Dialog/EnterFirstShop_2	Paru żeśmy pochowali.
Dialog/EnterFirstShop_3	O, słyszeliśmy. Słyszeliśmy wszystko. I <color=#AB82FD>chcemy pomóc</color>. Patrzcie, co dla was odłożyłem.
Dialog/EnterSecondShop_1	O, słyszeliśmy o was, Dzikie Bękarty. Wyrobiliście sobie niezłą sławę w <color=#AB82FD>sektorze Szadrak</color>.
Dialog/EnterSecondShop_2	Choć bardziej nas obchodzi, co robicie tu, w <color=#AB82FD>Lamencie</color>. Jak będziecie musieli wrócić, przyjmiemy was jak najserdeczniej.
Dialog/ExitFirstShop_1	Miło było was poznać. <color=#AB82FD>Im więcej Karzycieli pochowacie, tym więcej załatwię towaru</color>. Nie żałujcie ołowiu.
Dialog/ExitFirstShop_2	Ciągnijcie za spust, aż kliknie.
Dialog/FletchAstronautArg_1	Co ma oznaczać pytanie: „Jak to jest być ostatnim ze swojego gatunku?”
Dialog/FletchAstronautArg_2	Och, strasznie przepraszam. Myślałam... myślałam, że już wiesz.
Dialog/FletchBillyArg_1	Nie mogę cię niańczyć na dole, jak do tej pory.
Dialog/FletchBillyArg_2	Kto tu kogo niańczy, Fletch? Może następnym razem nie będę się tak starał, żebyś nie wylądowała w grobie. 
Dialog/FletchGamblerArg_1	Mogłabyś czasem okazać starszym odrobinę szacunku, panienko.  
Dialog/FletchGamblerArg_2	Nie ma takiego wszechświata, w którym potrzebowałabym twojej opinii, „doktorze Casino”.
Dialog/FletchHelixPlanet_1	Wykopujemy teraz stare, śmierdzące ości? Pewnie chcecie zawlec do tej waszej Ostoi też to coś, co się nazywało Fletch.
Dialog/FletchHopalongArg_1	Gadają, że znasz się na przypływach i odpływach czasu i takich tam, że wiesz różne rzeczy. Odzyskam kiedyś tę moją farmę?  
Dialog/FletchHopalongArg_2	To nie jarmark. A ja nie jestem twoją wróżką.  
Dialog/FletchInitArg_1	Drifter cię do czegoś potrzebuje. Za nic nie mogę pojąć, do czego. 
Dialog/FletchInitArg_2	Czasem porządnie robisz swoje. Szkoda, że nie teraz. 
Dialog/FletchIntro_1	Witaj z powrotem, panno <color=#AB82FD>Fletch</color>. Skoro jesteś ostatnia z nas, to chyba nasza podróż dobiega końca. Lecimy do <color=#AB82FD>Ostoi</color>! Otrzyj łzy, dziewczyno!
Dialog/FletchIntro_10	Nie Dzikie Bękarty. <color=#AB82FD>Bękarty Chaste'a.</color>
Dialog/FletchIntro_11	Czyli mówisz, że Drifter nas nie ratuje, tylko chce… żebyśmy to my ratowali? 
Dialog/FletchIntro_12	W dziesiątkę.
Dialog/FletchIntro_13	I tym kimś jest bękarci pomiot Chaste'a?
Dialog/FletchIntro_14	Nie będę pracować dla Chaste'a.
Dialog/FletchIntro_15	Ratować je przed Chaste'em.
Dialog/FletchIntro_16	Już mamy trzech książąt: <color=#AB82FD>McNeila</color>, <color=#AB82FD>Francisco</color> i <color=#AB82FD>Barrabasa</color>. A teraz ma jeszcze troje w piekarniku. Są jeszcze młode, ale dość duże, żeby zaczął je „szkolić”. 
Dialog/FletchIntro_17	Ja to nazywam torturami. Jak z nimi skończy, zrobią wszystko, co ten sukinsyn im każe. Czymkolwiek są teraz, wyjdą z tego dzikie jak zwierzęta.
Dialog/FletchIntro_18	Hola, hola. To nie żadna dzikość. To on uczy je źle. To, do cholery, nie to samo.
Dialog/FletchIntro_19	Czemu mielibyśmy się przejmować wilgotnymi larwami Chaste'a? To tylko kolejni „ludzie”, gotowi miażdżyć butami nasze ksenoczaszki.
Dialog/FletchIntro_2	Przepraszam, Billy.
Dialog/FletchIntro_20	O, tylko że nie są. Ludźmi, znaczy. Lędźwie Chaste'a mają apetyt i nie są wybredne.
Dialog/FletchIntro_20a	Siał swoje ziarno po całej galaktyce i nie stroni od schadzek z takimi jak my, jeśli wiecie, co mam na myśli.
Dialog/FletchIntro_21	Czyli mówisz, że <color=#AB82FD>te dzieciaki to ksenosi</color> jak my? I... boty?
Dialog/FletchIntro_21a	On się… zadaje z mechami i innymi blaszakami? Nie umiem sobie tego wyobrazić.
Dialog/FletchIntro_21b	Ja umiem i wcale nie chcę.
Dialog/FletchIntro_22	<color=#AB82FD>Chaste zrobi z nich diabły</color> i wyśle je, żeby polowały na swoich i ich zabijały. A wszystko ładnie przystroi tymi kawałkami Pisma, które umie przekręcić. 
Dialog/FletchIntro_23	Dość się nasłuchałem. Wszyscy na koń. Dzikie Bękarty ruszają… ratować inne bękarty.
Dialog/FletchIntro_24	Jak będziecie to wspominać, niech to zabrzmi naprawdę dramatycznie.
Dialog/FletchIntro_3	Za co? Nic żeście nie zrobili.
Dialog/FletchIntro_4	Jeszcze tego nie zrobiłam.
Dialog/FletchIntro_4a	Przykro mi, nie dostaniecie tego, czego chcecie. <color=#AB82FD>Tu nie chodzi o was</color>. Nigdy nie chodziło. 
Dialog/FletchIntro_5	Fletch, gadasz bez sensu. Przecież strasznie potrzebujemy Driftera! Chaste siedzi nam na dupie, a on się zjawił! Wyciągnął nas z cholernego grobu, zupełnie jak Jorge Crux. 
Dialog/FletchIntro_6	Masz rację, Boom. Drifter zjawia się, kiedy najbardziej go potrzeba. <color=#AB82FD>Ale to nie ty go potrzebujesz.</color>
Dialog/FletchIntro_7	To kto?
Dialog/FletchIntro_8	<color=#AB82FD>Bękarty.</color>
Dialog/FletchIntro_9	Ale Spike! To my jesteśmy Bękarty!
Dialog/FletchJailPals_1	Wiedziałam, że mnie wyciągniesz. Tylko skąd te pięć minut spóźnienia?
Dialog/FletchJudgeArg_1	Wiem, co zrobiłeś. Wiem, czemu to zrobiłeś. I to nie jest dość dobry powód. 
Dialog/FletchJudgeArg_2	No to dobrze, że nie potrzebuję twojej aprobaty.
Dialog/FletchMamaPanicArg_1	Jako Matrona tego klanu mam rozmaite zdania o twoich wynikach.
Dialog/FletchMamaPanicArg_2	Już kiedyś się o to kłóciłyśmy, wiesz? Pod koniec nie wyglądasz najlepiej.
Dialog/FletchMistMinerArg_1	Nie jestem pewna, czy chodzenie z tobą na misje jest naprawdę... bezpieczne, w klasycznym sensie tego słowa. Przez te bomby.  
Dialog/FletchMistMinerArg_2	To może zrób sobie przysługę, siostro? Rozchyl tę cholerną „zasłonę czasu” i zobacz, gdzie wylądują?   
Dialog/FletchOrSpike_1	Wiem, że nie wszyscy się zgadzamy, kto ma teraz rządzić tą bandą. Moim zdaniem najlepiej by było znowu znaleźć <color=#AB82FD>Fletch</color>. Ona zawsze umiała dowodzić.
Dialog/FletchOrSpike_2	Wygląda na to, że to Drifter o tym decyduje, Kuchciku.
Dialog/FletchOrSpike_3	I mam tylko nadzieję, że najpierw nie zaprowadzi nas do <color=#AB82FD>Spike'a</color>. Kłopoty zawsze chodzą tą samą drogą co on.
Dialog/FletchPals_1	Kiedyś odwdzięczę się tym samym i to ja cię znajdę. Możesz na to liczyć.
Dialog/FletchPreachArg_1	Żeby było jasne między nami: nie mam żadnych wizji czasu ani przepowiedni, ani nic takiego, a na dole walczę nie gorzej od ciebie.  
Dialog/FletchPreachArg_2	Tak, mała? To zapytaj mnie kiedyś, jak umrzesz.  
Dialog/FletchRawhideArg_1	Ja... to dziwne uczucie. Zaczynam mieć wrażenie, że ty widzisz różne rzeczy. Widzisz je tak jak ja.  
Dialog/FletchRespArg_1	Nie mam czasu na to, co tam teraz próbujesz robić.
Dialog/FletchRespArg_2	Drifter wybrał ciebie. Mój wybór mógłby być inny. 
Dialog/FletchSargeArg_1	Czasem myślę sobie, że tylko my wiemy, co się tu naprawdę dzieje.
Dialog/FletchSargeArg_2	Jedno z nas wie. I powiem ci tyle: nie ma kopyt. 
Dialog/FletchSector_1	Nie mam pojęcia, jak <color=#AB82FD>Fletch dała się zabić</color>, zawsze wiedziała o wszystkim, zanim się wydarzyło. 
Dialog/FletchSector_2	To tak nie działa, a ja nie mam czasu na dalsze uzupełnianie twojej edukacji w tym temacie. 
Dialog/FletchSector_3	O, już pojmuję, Spike. Rozchylam te mistyczne zasłony, Spike. O, patrzcie: widzę, jak kładę całą kupę tych asesinos. Bum!
Dialog/FletchSector_4	Billy jest gładki i młody, jak niemowlę.
Dialog/FletchSector_5	Skoro o gładkości mowa, wygląda na to, że <color=#AB82FD>nasz wijący się kumpel dał się zamknąć w tym sektorze</color>. Nie zostawiamy nikogo – ludzi, węży ani węży-ludzi.
Dialog/FletchSmokyArg_1	Dobra jest i w ogóle, ale... coś mi się zdaje, że ta fasola jest ciut za słodka.
Dialog/FletchSmokyArg_2	DO CHOLERY, TE SMAKI SĄ WYWAŻONE NA OSTRZU NOŻA!
Dialog/FletchSpikeArg_1	Nie możesz tak na mnie patrzeć, jak patrzyłeś do tej pory. Nie przy wszystkich.
Dialog/FletchSpikeArg_2	Patrzeć, czyli jak? Tak, jak ty patrzysz na mnie?
Dialog/Francisco1_1	Co za zbieranina wyrodnego, na wpół żywego śmiecia. Genetyczne graffiti. Jak w cholernym gabinecie osobliwości, ale niech mnie, nie mogę oderwać oczu. Wciągam buty.
Dialog/Francisco2_1	Jest w was coś, w tym, jacy jesteście, co miesza we mnie obrzydzenie z przyjemnością. 
Dialog/Francisco2_1a	Mogłabym oglądać, jak pełzacie po moich światach, na podglądzie. Ale muszę was zobaczyć na własne oczy.
Dialog/Francisco3_1	Nie strzelam wam w łby tylko dlatego, że chcę je powiesić na ścianie. Muszą być ładne.
Dialog/Francisco4_1	No proszę. Przyprowadziliście tego szóstaka? Tego z tymi wszystkimi rękami? Jednego szóstaka mam już w zamrażarce, ale para zawsze się przyda. 
Dialog/Francisco5_1	Mam dwie komory kriogeniczne gotowe na te pokręcone kształty. Możecie się zgłosić na ochotnika albo zejdę i sama wybiorę. 
Dialog/FranciscoIntro_1	Kiedy McNeil zawiedzie, a zawiedzie, poznamy się bliżej.
Dialog/FranciscoIntro_2	Wasze tłuste, obce ciała są ohydne, ale… na swój sposób nowatorskie. Moi ludzie mają rozkaz zostawić was w miarę w całości.
Dialog/FranciscoIntro_3	Możecie już świętować.
Dialog/FranciscoKilled_1	Musiałam sprawić sobie nowe serce, jak wy, insekty, podziurawiłyście stare. Coś w was przypomina mi gościa, z którego je wyjęliśmy.
Dialog/Frontier2_1	Wydobywałeś tu <color=#AB82FD>cramm</color>, prawda, Kaboom? Zanim przeszedłeś tę, hm, metamorfozę.
Dialog/Frontier2_2	Ano, wydobywałem, panie Roswell. Miałem do tego nosa. No, kiedyś miałem.
Dialog/Frontier2_3	A <color=#AB82FD>cramm</color>… tutaj płaci się nim jak pieniędzmi, a to po części dlatego, że… jest czynnikiem terraformującym?
Dialog/Frontier2_4	Tak jest, w postaci ak-ty-wowanej. Ale żeby go takim zrobić, potrzeba takiej kopalni jak ta Chaste'a.
Dialog/Frontier2_5	Mów dalej.
Dialog/Frontier2_6	Paskudne, paskudne świństwo. Ma straszny głód żywego ciała i chce je zamieniać w siebie. W <color=#AB82FD>cramm</color>.
Dialog/Frontier2_7	I mówiłeś… że pamiętasz tu miasta? Miasta, które… zniknęły?
Dialog/Frontier2_8	Wszystko gra, Roz? Coś ci tak oczy zamrugały przez chwilę.
Dialog/Frontier2_9	Tak, ja… tak. Po prostu wpadł mi do głowy pomysł, który mi się nie podoba.
Dialog/Frontier3_0	Słyszałem, jak z panem Bumem gadacie o <color=#AB82FD>cramm</color> i takich tam. Wprowadzisz mnie?
Dialog/Frontier3_1	Czy wszystko muszę tłumaczyć?... Chyba tak. No dobrze, słuchajcie.
Dialog/Frontier3_2	Zastanawialiście się kiedyś, czemu każdy świat tutaj aż kipi od <color=#AB82FD>cramm</color>? Czemu roi się na nich od crammowych zwierząt i niczego więcej?
Dialog/Frontier3_3	Chaste zasiał całe to ramię galaktyki <color=#AB82FD>aktywowanym cramm</color>. Rósł i rósł, i rósł, żywiąc się światami i wszystkim, co na nich było.
Dialog/Frontier3_3a	Cokolwiek pochłonął, stawał się jego pokręconym sobowtórem.
Dialog/Frontier3_4	Świetnie dla takich górników <color=#AB82FD>cramm</color> jak Chaste, nie tak świetnie dla tych, którzy mieli pecha być tu przed nim.
Dialog/Frontier3_5	I… teraz całe to ramię to jego prywatny kamieniołom <color=#AB82FD>cramm</color>. Ten człowiek strasznie potrzebuje sądu Pańskiego.
Dialog/Frontier_1	To nie ma sensu, że znajdujemy <color=#AB82FD>cramm</color> na tych światach. Nie ma to żadnego cholernego sensu. 
Dialog/Frontier_1a	Te skały ogołocono wiele lat temu. Wiem. Sam je ogołacałem.
Dialog/Frontier_2	I byli tu ludzie – dobrzy ludzie. Ludzie na tym świecie tuż pod nami. Znałem ich. Miasteczko zwało się Fosfor. I jak ono lśniło.
Dialog/Frontier_3	Nie widzę żadnego cholernego Fosforu na skanerze.
Dialog/GamblerJailPals_1	Bardzo to miłe z twojej strony, przyjacielu – wyciągnąć mnie z tej zagrody.
Dialog/GamblerMamaPanicArg_1	Naprawdę trzeba było się tam wymykać na partyjkę kart?
Dialog/GamblerMamaPanicArg_2	Panno Roso, ja ci nie mówię, jak masz jeść ludzi, prawda? Pilnuj swojego cholernego nosa.
Dialog/GamblerPals_1	Bardzo to ładnie z twojej strony – przyjść po mnie, jak się tam rozproszyłem.
Dialog/GotoJail_1	Muszę znaleźć <color=#AB82FD>Casino</color>, zanim zajmę się tymi dżentelmenami.
Dialog/HopalongGamblerArg_1	Mógłbyś naoliwić parę tych przegubów, Doc. Ludzie słyszeli nas z daleka.
Dialog/HopalongGamblerArg_2	Co? Ja... ja brzmię, jakbym dopiero zjechał z cholernej taśmy, chłopcze!  
Dialog/HopalongHelixPlanet_1	McNeil myśli, że po prostu uciekacie, ale ja się domyśliłem, dokąd.
Dialog/HopalongHelixPlanet_1a	I mam wieści: ta wasza tak zwana <color=#AB82FD>Ostoja</color> to tylko miraż, mrzonka miliona zdesperowanych blaszaków i mutantów takich jak wy. 
Dialog/HopalongInitArg_1	Biłem się z kojotami twardszymi od ciebie. 
Dialog/HopalongInitArg_2	Nie wiem, co tam na dole, wedle ciebie, robiłeś, ale przestań to, do cholery, robić. 
Dialog/HopalongIntro_1	Ja… kupowałem farmę. A potem nie bardzo pamiętam.
Dialog/HopalongIntro_2	No, dostałeś kawałek ziemi, tylko nie taki, jak chciałeś.
Dialog/HopalongIntro_3	Tak? Szczęście, że udało mi się przechować te wasze <color=#AB82FD>naładowane asy</color>.
Dialog/HopalongIntro_4	Dobrze, że o tym wspominasz. Najlepiej oddaj je teraz, Largo.
Dialog/HopalongIntro_5	Nie ma sprzeciwu. Trzymałem je dla was bezpiecznie.
Dialog/HopalongJailPals_1	Nie nadaję się do więzienia. Dzięki za pomoc.
Dialog/HopalongJudgeArg_1	Po tym, co tam widziałem, chyba za długo byłeś sam. Jesteś jak dzikie zwierzę.   
Dialog/HopalongJudgeArg_2	Miało to być obraźliwe, więc tak to przyjmę.  
Dialog/HopalongMamaPanicArg_1	Zabijanie to jedno, ale zastanawiam się, co się stało z tymi wszystkimi brakującymi częściami ciał tam na dole.
Dialog/HopalongMamaPanicArg_2	Dama ma swoje sekrety.
Dialog/HopalongMistMinerArg_1	Jak to „oszczędzaj ich”, Hop? To co ja mam tam na dole robić?
Dialog/HopalongMistMinerArg_2	Nie podoba mi się, jak znajduję ich kawałki poprzyklejane do ścian.
Dialog/HopalongNotRescued_1	Chyba zgarniemy starego Hopa gdzieś indziej w okolicy.
Dialog/HopalongNotRescued_2	Śliski gość.
Dialog/HopalongPals_1	Odłączyłem się tam od stada, a ktoś z was mnie znalazł. Macie moją wdzięczność.
Dialog/HopalongPreachArg_1	Jak wróciliśmy, sprawdziłam, i w Piśmie nie ma ani słowa o kimś takim jak ty. Strasznie mnie to martwi.
Dialog/HopalongPreachArg_2	Widać nie wszystko, co warto wiedzieć, tam jest, panienko. Pilnuj swojego nosa.
Dialog/HopalongRejoin_1	Wyściskałbym was wszystkich, ale jak jestem taki rozanielony, nie panuję nad tym, jak mocno ściskam! Dajcie mi dokończyć wybieranie gnoju z tej stajni, to pojedziemy.
Dialog/HopalongRejoin_2	A to co, u licha?
Dialog/HopalongRejoin_3	Pójdzie szybciej, jak weźmiesz łopatę, Sierżancie.
Dialog/HopalongRescuePlanet_1	<color=#AB82FD>Stary Hop</color> wlazł prosto do wielkiego domu tu na dole.
